tweet_id,favorites,retweets,user_followers,user_favourites,date_time
746369468511756288,6462,1753,7690794,140762,2016-06-24 15:48:42
746131877086527488,7244,2352,7690794,140762,2016-06-24 00:04:36
746056683365994496,3715,868,7690794,140762,2016-06-23 19:05:49
745789745784041472,4219,1138,7690794,140762,2016-06-23 01:25:06
745712589599014916,7319,2476,7690794,140762,2016-06-22 20:18:30
745433870967832576,7428,2705,7690794,140762,2016-06-22 01:50:58
745422732645535745,8983,2592,7690794,140762,2016-06-22 01:06:43
745314880350101504,7519,2960,7690794,140762,2016-06-21 17:58:09
745074613265149952,8210,3765,7690794,140762,2016-06-21 02:03:25
745057283344719872,7566,2425,7690794,140762,2016-06-21 00:54:33
744995568523612160,3112,661,7690794,140762,2016-06-20 20:49:19
744971049620602880,8247,2876,7690794,140762,2016-06-20 19:11:53
744709971296780288,5852,1665,7690794,140762,2016-06-20 01:54:27
744334592493166593,7075,2280,7690794,140762,2016-06-19 01:02:50
744234799360020481,163968,83411,7690794,140762,2016-06-18 18:26:18
744223424764059648,1768,396,7690794,140762,2016-06-18 17:41:06
743980027717509120,4353,1158,7690794,140762,2016-06-18 01:33:55
743895849529389061,3815,1020,7690794,140762,2016-06-17 19:59:26
743835915802583040,0,2221,7690794,140762,2016-06-17 16:01:16
743609206067040256,4686,1472,7690794,140762,2016-06-17 01:00:24
743595368194129920,19310,7012,7690794,140762,2016-06-17 00:05:25
743545585370791937,3682,994,7690794,140762,2016-06-16 20:47:36
743510151680958465,8274,3941,7690794,140762,2016-06-16 18:26:48
743253157753532416,4423,1301,7690794,140762,2016-06-16 01:25:36
743222593470234624,6477,2028,7690794,140762,2016-06-15 23:24:09
743210557239623680,4018,1456,7690794,140762,2016-06-15 22:36:19
742534281772302336,7369,3783,7690794,140762,2016-06-14 01:49:03
742528092657332225,4630,2125,7690794,140762,2016-06-14 01:24:27
742465774154047488,7591,4145,7690794,140762,2016-06-13 21:16:49
742423170473463808,10279,4042,7690794,140762,2016-06-13 18:27:32
742385895052087300,7120,2117,7690794,140762,2016-06-13 15:59:24
742161199639494656,4541,1466,7690794,140762,2016-06-13 01:06:33
742150209887731712,5370,1661,7690794,140762,2016-06-13 00:22:53
741793263812808706,4773,1605,7690794,140762,2016-06-12 00:44:30
741743634094141440,8550,2940,7690794,140762,2016-06-11 21:27:17
741438259667034112,3840,888,7690794,140762,2016-06-11 01:13:51
741303864243200000,9170,3449,7690794,140762,2016-06-10 16:19:48
741099773336379392,10487,5906,7690794,140762,2016-06-10 02:48:49
741067306818797568,9880,3286,7690794,140762,2016-06-10 00:39:48
740995100998766593,6694,2950,7690794,140762,2016-06-09 19:52:53
740711788199743490,3561,993,7690794,140762,2016-06-09 01:07:06
740699697422163968,2963,832,7690794,140762,2016-06-09 00:19:04
740676976021798912,18977,7226,7690794,140762,2016-06-08 22:48:46
740373189193256964,36387,14155,7690794,140762,2016-06-08 02:41:38
740365076218183684,2585,463,7690795,140762,2016-06-08 02:09:24
740359016048689152,3446,911,7690796,140762,2016-06-08 01:45:19
740214038584557568,6994,2093,7690796,140762,2016-06-07 16:09:13
739979191639244800,20855,6303,7690796,140762,2016-06-07 00:36:02
739932936087216128,4237,1148,7690796,140762,2016-06-06 21:32:13
739844404073074688,3961,908,7690796,140762,2016-06-06 15:40:26
739623569819336705,3976,1447,7690796,140762,2016-06-06 01:02:55
739606147276148736,5610,1761,7690796,140762,2016-06-05 23:53:41
739544079319588864,41450,22752,7690797,140762,2016-06-05 19:47:03
739485634323156992,7511,3127,7690797,140762,2016-06-05 15:54:48
739238157791694849,121140,61763,7690797,140762,2016-06-04 23:31:25
738891149612572673,112,6,7690797,140762,2016-06-04 00:32:32
738885046782832640,3934,1215,7690797,140762,2016-06-04 00:08:17
738883359779196928,3478,863,7690797,140762,2016-06-04 00:01:35
738537504001953792,5319,1661,7690796,140762,2016-06-03 01:07:16
738402415918125056,3397,893,7690796,140762,2016-06-02 16:10:29
738184450748633089,4496,1284,7690796,140762,2016-06-02 01:44:22
